Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
09/12/2020,Trade,SELL_TO_CLOSE,GME,Equity,,12600.41,913.403872,13.79500392,0,0,,GME,GME,,,,HLZX014077
09/12/2020,Trade,BUY_TO_OPEN,RCKT,Equity,,-12603,200.8449402,-62.74990042,0,0,,RCKT,RCKT,,,,HLAF014635
09/12/2020,Trade,SELL_TO_CLOSE,RCKT,Equity,,5819.77,100.8449402,57.71008428,0,0,,RCKT,RCKT,,,,HLUB016645
09/12/2020,Trade,BUY_TO_OPEN,LXRX,Equity,,-5819.659989,2109.945652,-2.75820374,0,0,,LXRX,LXRX,,,,HLXZ016702
15/12/2020,Money Movement,,,,Wire Funds Received,5887.56,,,,,,,,,,,
15/12/2020,Money Movement,,,,Wire Funds Received,2264.48,,,,,,,,,,,
16/12/2020,Trade,BUY_TO_OPEN,MT,Equity,,-2248.46,97,-23.18,-8.64,-0.86,,,MT,,,,
16/12/2020,Trade,BUY_TO_OPEN,X,Equity,,-2500,138.8888889,-18,0,0,,X,X,,,,HLWJ025433
16/12/2020,Trade,BUY_TO_OPEN,NVAX,Equity,,-3394.599999,27.93679532,-121.51,0,0,,NVAX,NVAX,,,,HLWF026835
18/12/2020,Trade,SELL_TO_CLOSE,RCKT,Equity,,5066.34,100,50.6634,0,0,,RCKT,RCKT,,,,HLAP030277
18/12/2020,Trade,BUY_TO_OPEN,SOL,Equity,,-5066.219997,640.0770202,-7.91501622,0,0,,SOL,SOL,,,,HLCN030518
18/12/2020,Trade,SELL_TO_CLOSE,CRSR,Equity,,11533.11,291.3872356,39.58001103,0,0,,CRSR,CRSR,,,,HLWC030421
18/12/2020,Trade,BUY_TO_OPEN,UPST,Equity,,-11532.83,242.7968421,-47.49991762,0,0,,UPST,UPST,,,,HLFW030532
18/12/2020,Trade,SELL_TO_CLOSE,UPST,Equity,,9541.939999,242.7968421,39.30009928,0,0,,UPST,UPST,,,,HLSN030697
18/12/2020,Trade,BUY_TO_OPEN,NIO,Equity,,-41.69999975,0.89484978,-46.6,0,0,,NIO,NIO,,,,HLET032246
18/12/2020,Trade,BUY_TO_OPEN,NVAX,Equity,,-9500,76,-125,0,0,,NVAX,NVAX,,,,HLGX031529
29/12/2020,Trade,SELL_TO_CLOSE,X,Equity,,2231.46,138,16.17,0,0,,X,X,,,,HLHF043603
29/12/2020,Trade,BUY_TO_OPEN,CELH,Equity,,-2199.5,53,-41.5,0,0,,CELH,CELH,,,,HLNJ044818
29/12/2020,Trade,SELL_TO_CLOSE,X,Equity,,14.2044443,0.88888888,15.98,0,0,,X,X,,,,HLCM045337
29/12/2020,Trade,BUY_TO_OPEN,SOL,Equity,,-16.07999999,1.52706552,-10.53000004,0,0,,SOL,SOL,,,,HLFP045418
30/12/2020,Money Movement,,,,Wire Funds Received,2921.69,,,,,,,,,,,
30/12/2020,Trade,BUY_TO_OPEN,LXRX,Equity,,-29.88,9,-3.32,0,0,,LXRX,LXRX,,,,HLFS045408
31/12/2020,Trade,BUY_TO_OPEN,ARKK,Equity,,-2248.46,23,-127.03,-8.64,-0.86,,,ARKK,,,,
07/01/2021,Trade,SELL_TO_CLOSE,APPS,Equity,,77.12,1.5089,51.11008019,0,0,,APPS,APPS,,,,IAPV010167
07/01/2021,Trade,SELL_TO_CLOSE,ENPH,Equity,,122.3054373,0.56630753,215.97,0,0,,ENPH,ENPH,,,,IAAH010380
07/01/2021,Trade,SELL_TO_CLOSE,LXRX,Equity,,6.929999987,1.94565217,3.56178771,0,0,,LXRX,LXRX,,,,IANK009889
07/01/2021,Trade,SELL_TO_CLOSE,NIO,Equity,,56.76,1.06269312,53.4114684,0,0,,NIO,NIO,,,,IAHW009796
07/01/2021,Trade,SELL_TO_CLOSE,NVAX,Equity,,175.98,1.38556344,127.0097023,0,0,,NVAX,NVAX,,,,IAVA010088
07/01/2021,Trade,SELL_TO_CLOSE,PLTR,Equity,,44.85999999,1.84911318,24.2602781,0,0,,PLTR,PLTR,,,,IAHF009936
07/01/2021,Trade,SELL_TO_CLOSE,SOL,Equity,,20.00999999,1.04431683,19.16085178,0,0,,SOL,SOL,,,,IAPP010346
08/01/2021,Trade,BUY_TO_OPEN,SCHN,Equity,,-465.36,12,-38.78,0,0,,SCHN,SCHN,,,,IANJ011800
08/01/2021,Trade,BUY_TO_OPEN,PSTH,Equity,,-27.34,1,-27.34,0,0,,PSTH,PSTH,,,,IARK012070
19/01/2021,Trade,SELL_TO_CLOSE,SCHN,Equity,,384.24,12,32.02,0,0,,SCHN,SCHN,,,,IAJU034920
19/01/2021,Trade,BUY_TO_OPEN,GME,Equity,,-390.599,10,-39.0599,0,0,,GME,GME,,,,IAJA034703
26/01/2021,Trade,SELL_TO_CLOSE,GME,Equity,,1500,10,150,0,0,,GME,GME,,,,IAAW050731
26/01/2021,Trade,BUY_TO_OPEN,BB,Equity,,-1504.9,79.58276044,-18.90987434,0,0,,BB,BB,,,,IARM052440
01/02/2021,Trade,SELL_TO_CLOSE,BB,Equity,,8.432543567,0.58276044,14.47,0,0,,BB,BB,,,,IAYM077588
01/02/2021,Trade,SELL_TO_CLOSE,TSLA,Equity,,431.3457906,0.53076301,812.69,0,0,,TSLA,TSLA,,,,IAAF076705
02/02/2021,Trade,BUY_TO_OPEN,PLTR,Equity,,-409.5,13,-31.5,0,0,,PLTR,PLTR,,,,IBYH011108
09/02/2021,Trade,BUY_TO_OPEN,PSTH,Equity,,-31.9,1,-31.9,0,0,,PSTH,PSTH,,,,IBZQ031464
14/12/2021,Money Movement,,,,Wire Funds Debited,-5231.95,,,,,,,,,,,
