Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-12-31T01:32:06+1100,Trade,SELL_TO_OPEN,CHPT  220218P00023000,Equity Option,Sold 2 CHPT 02/18/22 Put 23.00 @ 5.78,"1,156.00",2,578.00,-2.00,-0.254,100,CHPT,CHPT,2/19/22,23.0,PUT,191231554
2021-12-31T01:32:06+1100,Trade,BUY_TO_CLOSE,CHPT  220121P00022500,Equity Option,Bought 2 CHPT 01/21/22 Put 22.50 @ 4.91,-982.00,2,-491.00,0.00,-0.24,100,CHPT,CHPT,1/22/22,22.5,PUT,191231554
2021-12-30T07:29:51+1100,Trade,SELL_TO_CLOSE,NVDA  220121C00355000,Equity Option,Sold 1 NVDA 01/21/22 Call 355.00 @ 1.65,165.00,1,165.00,0.00,-0.132,100,NVDA,NVDA,1/22/22,355.0,CALL,191234443
2021-12-30T07:29:51+1100,Trade,BUY_TO_OPEN,NVDA  220218C00355000,Equity Option,Bought 1 NVDA 02/18/22 Call 355.00 @ 6.10,-610.00,1,-610.00,-1.00,-0.12,100,NVDA,NVDA,2/19/22,355.0,CALL,191234443
2021-12-30T07:09:23+1100,Trade,SELL_TO_OPEN,NVAX  220218C00220000,Equity Option,Sold 1 NVAX 02/18/22 Call 220.00 @ 10.18,"1,018.00",1,"1,018.00",-1.00,-0.132,100,NVAX,NVAX,2/19/22,220.0,CALL,191236468
2021-12-30T07:09:23+1100,Trade,SELL_TO_OPEN,NVAX  220218P00120000,Equity Option,Sold 1 NVAX 02/18/22 Put 120.00 @ 10.72,"1,072.00",1,"1,072.00",-1.00,-0.132,100,NVAX,NVAX,2/19/22,120.0,PUT,191236468
2021-12-30T07:06:28+1100,Trade,SELL_TO_OPEN,NVDA  220218C00345000,Equity Option,Sold 1 NVDA 02/18/22 Call 345.00 @ 7.91,791.00,1,791.00,-1.00,-0.132,100,NVDA,NVDA,2/19/22,345.0,CALL,191234319
2021-12-30T07:06:28+1100,Trade,BUY_TO_CLOSE,NVDA  220121C00345000,Equity Option,Bought 1 NVDA 01/21/22 Call 345.00 @ 2.51,-251.00,1,-251.00,0.00,-0.12,100,NVDA,NVDA,1/22/22,345.0,CALL,191234319
2021-12-30T07:02:10+1100,Trade,BUY_TO_CLOSE,AMD   220121P00115000,Equity Option,Bought 15 AMD 01/21/22 Put 115.00 @ 0.30,-450.00,15,-30.00,0.00,-1.82,100,AMD,AMD,1/22/22,115.0,PUT,191232594
2021-12-30T07:02:10+1100,Trade,SELL_TO_OPEN,AMD   220218P00115000,Equity Option,Sold 15 AMD 02/18/22 Put 115.00 @ 1.52,"2,280.00",15,152.00,0.00,-1.87,100,AMD,AMD,2/19/22,115.0,PUT,191232594
2021-12-30T07:02:10+1100,Trade,BUY_TO_CLOSE,AMD   220121P00115000,Equity Option,Bought 10 AMD 01/21/22 Put 115.00 @ 0.30,-300.00,10,-30.00,0.00,-1.21,100,AMD,AMD,1/22/22,115.0,PUT,191232594
2021-12-30T07:02:10+1100,Trade,SELL_TO_OPEN,AMD   220218P00115000,Equity Option,Sold 10 AMD 02/18/22 Put 115.00 @ 1.52,"1,520.00",10,152.00,-10.00,-1.24,100,AMD,AMD,2/19/22,115.0,PUT,191232594
